"","Acc_Index","Vehicle_Reference","Vehicle_Type","Towing_and_Articulation","Vehicle_Manoeuvre","Vehicle_Location.Restricted_Lane","Junction_Location","Skidding_and_Overturning","Hit_Object_in_Carriageway","Vehicle_Leaving_Carriageway","Hit_Object_off_Carriageway","X1st_Point_of_Impact","Was_Vehicle_Left_Hand_Drive","Journey_Purpose_of_Driver","Sex_of_Driver","Age_Band_of_Driver","Engine_Capacity_.CC.","Propulsion_Code","Age_of_Vehicle","Driver_IMD_Decile","Driver_Home_Area_Type"
"1434","201001CP00148",1,1,0,18,0,2,0,0,0,0,1,1,2,1,6,-1,-1,-1,8,1
"1435","201001CP00149",1,3,0,18,0,0,0,0,0,0,3,1,15,1,6,125,1,8,6,1
"1436","201001CP00150",1,3,0,18,0,8,0,0,0,0,3,1,15,1,6,99,1,14,10,1
"1437","201001CP00150",2,1,0,18,0,8,0,0,0,0,3,1,15,2,6,-1,-1,-1,3,1
"1438","201001CP00152",1,19,0,3,0,2,0,0,0,0,2,1,1,1,7,2494,2,1,6,3
"1439","201001CP00152",2,19,0,18,0,2,0,0,0,0,1,1,1,1,5,1995,2,3,2,1
"1440","201001CP00153",1,21,0,2,0,0,0,0,0,0,3,1,1,1,8,8970,2,7,-1,1
"1441","201001CP00153",2,1,0,14,0,0,0,0,0,0,4,1,1,1,6,-1,-1,-1,4,1
"1442","201001CP00154",1,1,0,18,4,2,0,0,0,0,1,1,2,1,5,-1,-1,-1,2,1
"1443","201001CP00154",2,9,0,6,0,2,0,0,0,0,4,1,3,2,-1,1598,1,1,4,1
"1444","201001CP00155",1,1,0,15,0,8,0,0,0,0,1,1,2,2,6,-1,-1,-1,8,2
"1445","201001CP00155",2,20,0,9,0,8,0,0,0,0,3,1,1,1,7,-1,-1,-1,2,1
"1446","201001CP00156",1,3,0,13,0,1,0,0,0,0,4,1,15,1,7,124,1,5,5,1
"1447","201001CP00156",2,8,0,5,0,1,0,0,0,0,3,1,15,1,7,2402,2,6,9,3
"1448","201001CP00157",1,9,0,7,0,6,0,0,0,0,4,1,2,2,6,1984,1,1,5,1
"1449","201001CP00157",2,1,0,18,0,8,0,0,0,0,3,1,2,1,6,-1,-1,-1,3,1
"1450","201001CP00158",1,21,0,4,0,1,1,0,0,0,1,1,1,1,7,12130,2,7,2,1
"1451","201001CP00158",2,9,0,4,0,1,0,0,0,0,2,1,15,1,7,1910,2,4,2,1
"1452","201001CP00159",1,19,0,9,0,8,0,0,0,0,4,1,1,1,7,2463,2,4,9,2
"1453","201001CP00159",2,4,0,18,0,8,0,0,0,0,1,1,15,1,6,125,1,3,4,1
"1454","201001CP00160",1,11,0,18,2,1,0,0,0,0,4,1,1,1,9,6700,2,1,3,1
"1455","201001CP00161",1,11,0,4,0,2,0,0,0,0,0,1,1,1,7,-1,2,11,1,1
